id,fips,stname,st_code,year,temp_farenheit,temp_celcius
394,6,California, CA,1914,57.375,14.09722222
395,6,California, CA,1915,56.74166667,13.74537037
396,6,California, CA,1916,55.58333333,13.10185185
397,6,California, CA,1917,56.625,13.68055556
398,6,California, CA,1918,56.84166667,13.80092593
399,6,California, CA,1919,56.275,13.48611111
400,6,California, CA,1920,56.09166667,13.38425926
401,6,California, CA,1921,57.30833333,14.06018519
402,6,California, CA,1922,56.05833333,13.36574074
403,6,California, CA,1923,56.36666667,13.53703704
404,6,California, CA,1924,57.15,13.97222222
405,6,California, CA,1925,57.14166667,13.96759259
406,6,California, CA,1926,58.79166667,14.88425926
407,6,California, CA,1927,56.875,13.81944444
408,6,California, CA,1928,57.675,14.26388889
409,6,California, CA,1929,57.23333333,14.01851852
410,6,California, CA,1930,56.94166667,13.85648148
411,6,California, CA,1931,58.28333333,14.60185185
412,6,California, CA,1932,56.93333333,13.85185185
413,6,California, CA,1933,56.71666667,13.73148148
414,6,California, CA,1934,59.70833333,15.39351852
415,6,California, CA,1935,56.84166667,13.80092593
416,6,California, CA,1936,58.61666667,14.78703704
417,6,California, CA,1937,57.15833333,13.97685185
418,6,California, CA,1938,57.25,14.02777778
419,6,California, CA,1939,58.31666667,14.62037037
420,6,California, CA,1940,58.83333333,14.90740741
421,6,California, CA,1941,57.05833333,13.9212963
422,6,California, CA,1942,57.05,13.91666667
423,6,California, CA,1943,57.83333333,14.35185185
424,6,California, CA,1944,56.225,13.45833333
425,6,California, CA,1945,57.09166667,13.93981481
426,6,California, CA,1946,56.71666667,13.73148148
427,6,California, CA,1947,57.55,14.19444444
428,6,California, CA,1948,55.65,13.13888889
429,6,California, CA,1949,56.21666667,13.4537037
430,6,California, CA,1950,58.125,14.51388889
431,6,California, CA,1951,57.225,14.01388889
432,6,California, CA,1952,56.75833333,13.75462963
433,6,California, CA,1953,57.175,13.98611111
434,6,California, CA,1954,57.575,14.20833333
435,6,California, CA,1955,56.20833333,13.44907407
436,6,California, CA,1956,56.96666667,13.87037037
437,6,California, CA,1957,57.09166667,13.93981481
438,6,California, CA,1958,58.89166667,14.93981481
439,6,California, CA,1959,58.95,14.97222222
440,6,California, CA,1960,58.05,14.47222222
441,6,California, CA,1961,57.80833333,14.33796296
442,6,California, CA,1962,57.375,14.09722222
443,6,California, CA,1963,57.08333333,13.93518519
444,6,California, CA,1964,56.56666667,13.64814815
445,6,California, CA,1965,56.7,13.72222222
446,6,California, CA,1966,58.00833333,14.44907407
447,6,California, CA,1967,57.49166667,14.16203704
448,6,California, CA,1968,57.59166667,14.21759259
449,6,California, CA,1969,57.49166667,14.16203704
450,6,California, CA,1970,57.81666667,14.34259259
451,6,California, CA,1971,56.20833333,13.44907407
452,6,California, CA,1972,57.25833333,14.03240741
453,6,California, CA,1973,57.3,14.05555556
454,6,California, CA,1974,57.63333333,14.24074074
455,6,California, CA,1975,56.26666667,13.48148148
